Customer id,Age,Gender,Location,Email Opened,Email Clicked,Product page visit,Discount offered,Purchased
1,22,0,Perth,1,1,3,1,1
2,55,0,Auckland,1,0,0,0,0
3,15,1,Sydney,0,1,2,1,1
4,25,0,Brisbane,1,1,5,1,0
5,36,1,Brisbane,0,1,1,1,0
6,30,0,Sydney,0,0,0,0,0
7,28,1,Sydney,0,0,3,1,1
8,19,1,Sydney,1,1,2,0,0
9,59,0,Perth,1,1,1,0,0
10,45,1,Auckland,0,0,0,0,0
11,43,0,Auckland,0,1,5,1,1
12,37,0,Perth,1,1,4,1,1
13,39,1,Perth,0,1,2,0,0
14,18,1,Perth,1,0,3,1,1
15,55,1,Perth,0,0,2,0,1
16,60,1,Sydney,1,0,0,0,0
17,53,1,Sydney,1,1,1,0,1
18,23,0,Perth,1,0,1,0,1
19,62,1,Perth,0,1,2,1,1
20,41,0,Brisbane,0,1,5,1,0
21,53,1,Melbourne,0,0,5,0,0
22,66,0,Melbourne,1,0,5,1,0
23,43,0,Perth,1,0,3,1,0
24,29,0,Brisbane,1,1,0,0,0
25,57,1,Perth,0,1,5,1,0
26,22,1,Perth,0,1,8,1,0
27,35,0,Sydney,1,1,7,0,0
28,53,0,Perth,0,1,0,1,1
29,33,1,Melbourne,0,0,6,0,0
30,37,1,Perth,1,0,8,1,0
31,25,0,Auckland,0,1,6,0,1
32,25,0,Melbourne,1,0,0,1,0
33,38,0,Sydney,1,0,9,1,0
34,67,1,Perth,0,1,2,1,0
35,50,0,Auckland,0,0,1,0,1
36,54,0,Auckland,1,0,7,0,1
37,38,0,Melbourne,0,1,7,1,1
38,17,1,Perth,1,1,9,1,1
39,36,1,Auckland,0,0,6,1,1
40,67,1,Perth,1,0,1,0,1
41,16,0,Melbourne,0,1,2,1,1
42,38,1,Brisbane,1,1,8,0,0
43,58,1,Auckland,0,1,0,1,1
44,44,1,Sydney,1,1,2,1,1
45,52,1,Perth,1,1,4,0,0
46,16,1,Melbourne,0,0,8,1,0
47,35,0,Melbourne,0,0,1,0,0
48,47,0,Sydney,1,0,8,0,0
